,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
46,What's Our Problem?: A Self-Help Book for Societies,Tim Urban,,2023-03-14,,746.0,4.31,0,2023-02-21,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675636772l/102146148._SY75_.jpg,142394620
47,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,,2023-03-10,,564.0,4.02,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441544240l/6025160._SY75_.jpg,142394620
48,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,,2023-03-10,,600.0,4.14,0,2009-10-20,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347504190l/6687247._SY75_.jpg,142394620
49,"A Wrinkle in Time        (Time Quintet, #1)",Madeleine L'Engle,2023-03-29,2023-03-08,3.0,218.0,3.98,1,,2023-03-20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX50_.jpg,142394620
50,Bad City: Peril and Power in the City of Angels,Paul Pringle,2023-04-14,2023-03-08,5.0,304.0,4.23,1,2022-07-19,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639383330l/58724925._SY75_.jpg,142394620
51,"The Myth of Experience: Why We Learn the Wrong Lessons, and Ways to Correct Them",Emre Soyer,,2023-03-07,,272.0,3.78,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585174977l/50358533._SY75_.jpg,142394620
52,The Last Green Valley,Mark T. Sullivan,2023-08-05,2023-03-04,4.0,423.0,4.5,1,2021-05-04,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605876227l/55961582._SX50_.jpg,142394620
53,"Good Morning, Monster: A Therapist Shares Five Heroic Stories of Emotional Recovery",Catherine Gildiner,,2023-03-04,,368.0,4.46,0,2020-09-22,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592250003l/49127514._SY75_.jpg,142394620
54,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,2023-03-11,2023-02-22,4.0,328.0,4.4,1,2017-05-02,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578216397l/31920777._SY75_.jpg,142394620
55,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,,2023-02-22,,371.0,4.22,0,2010-03-25,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395176404l/7648269._SY75_.jpg,142394620
